id,breed_id,ems,english
156,1,a 01 62, blue van orange eyed 
157,1,b 01 62, chocolate van orange eyed 
158,1,c 01 62, lilac van orange eyed 
159,1,d 01 62, red van orange eyed 
160,1,e 01 62, cream van orange eyed 
161,1,f 01 62, black tortie van orange eyed 
162,1,g 01 62, blue tortie van orange eyed 
163,1,h 01 62, chocolate tortie van orange eyed 
164,1,j 01 62, lilac tortie van orange eyed 
165,1,n 01 63, black van odd eyed 
166,1,a 01 63, blue van odd eyed 
167,1,b 01 63, chocolate van odd eyed 
168,1,c 01 63, lilac van odd eyed 
169,1,d 01 63, red van odd eyed 
170,1,e 01 63, cream van odd eyed 
171,1,f 01 63, black tortie van odd eyed 
172,1,g 01 63, blue tortie van odd eyed 
173,1,h 01 63, chocolate tortie van odd eyed 
174,1,j 01 63, lilac tortie van odd eyed 
175,1,n 02 61, black harlequin blue eyed 
176,1,a 02 61, blue harlequin blue eyed 
177,1,b 02 61, chocolate harlequin blue eyed 
178,1,c 02 61, lilac harlequin blue eyed 
179,1,d 02 61, red harlequin blue eyed 
180,1,e 02 61, cream harlequin blue eyed 
181,1,f 02 61, black tortie harlequin blue eyed 
182,1,g 02 61, blue tortie harlequin blue eyed 
183,1,h 02 61, chocolate tortie harlequin blue eyed 
184,1,j 02 61, lilac tortie harlequin blue eyed 
185,1,n 02 62, black harlequin orange eyed 
186,1,a 02 62, blue harlequin orange eyed 
187,1,b 02 62, chocolate harlequin orange eyed 
188,1,c 02 62, lilac harlequin orange eyed 
189,1,d 02 62, red harlequin orange eyed 
190,1,e 02 62, cream harlequin orange eyed 
191,1,f 02 62, black tortie harlequin orange eyed 
192,1,g 02 62, blue tortie harlequin orange eyed 
193,1,h 02 62, chocolate tortie harlequin orange eyed 
194,1,j 02 62, lilac tortie harlequin orange eyed 
195,1,n 02 63, black harlequin odd eyed 
196,1,a 02 63, blue harlequin odd eyed 
197,1,b 02 63, chocolate harlequin odd eyed 
198,1,c 02 63, lilac harlequin odd eyed 
199,1,d 02 63, red harlequin odd eyed 
200,1,e 02 63, cream harlequin odd eyed 
201,1,f 02 63, black tortie harlequin odd eyed 
202,1,g 02 63, blue tortie harlequin odd eyed 
203,1,h 02 63, chocolate tortie harlequin odd eyed 
204,1,j 02 63, lilac tortie harlequin odd eyed 
205,1,n 03, black bicolour 
206,1,a 03, blue bicolour 
207,1,b 03, chocolate bicolour 
208,1,c 03, lilac bicolour 
209,1,d 03, red bicolour 
210,1,e 03, cream bicolour 
211,1,f 03, black tortie bicolour 
212,1,g 03, blue tortie bicolour 
213,1,h 03, chocolate tortie bicolour 
214,1,j 03, lilac tortie bicolour 
215,1,ns 01 61, black smoke van blue eyed 
216,1,as 01 61, blue smoke van blue eyed 
217,1,bs 01 61, chocolate smoke van blue eyed 
218,1,cs 01 61, lilac smoke van blue eyed 
219,1,ds 01 61, red smoke van blue eyed 
220,1,es 01 61, cream smoke van blue eyed 
221,1,fs 01 61, black tortie smoke van blue eyed 
222,1,gs 01 61, blue tortie smoke van blue eyed 
223,1,hs 01 61, chocolate tortie smoke van blue eyed 
224,1,js 01 61, lilac tortie smoke van blue eyed 
225,1,ns 01 62, black smoke van orange eyed 
226,1,as 01 62, blue smoke van orange eyed 
227,1,bs 01 62, chocolate smoke van orange eyed 
228,1,cs 01 62, lilac smoke van orange eyed 
229,1,ds 01 62, red smoke van orange eyed 
230,1,es 01 62, cream smoke van orange eyed 
231,1,fs 01 62, black tortie smoke van orange eyed 
232,1,gs 01 62, blue tortie smoke van orange eyed 
233,1,hs 01 62, chocolate tortie smoke van orange eyed 
234,1,js 01 62, lilac tortie smoke van orange eyed 
235,1,ns 01 63, black smoke van odd eyed 
236,1,as 01 63, blue smoke van odd eyed 
237,1,bs 01 63, chocolate smoke van odd eyed 
238,1,cs 01 63, lilac smoke van odd eyed 
239,1,ds 01 63, red smoke van odd eyed 
240,1,es 01 63, cream smoke van odd eyed 
241,1,fs 01 63, black tortie smoke van odd eyed 
242,1,gs 01 63, blue tortie smoke van odd eyed 
243,1,hs 01 63, chocolate tortie smoke van odd eyed 
244,1,js 01 63, lilac tortie smoke van odd eyed 
245,1,ns 02 61, black smoke harlequin blue eyed 
246,1,as 02 61, blue smoke harlequin blue eyed 
247,1,bs 02 61, chocolate smoke harlequin blue eyed 
248,1,cs 02 61, lilac smoke harlequin blue eyed 
249,1,ds 02 61, red smoke harlequin blue eyed 
250,1,es 02 61, cream smoke harlequin blue eyed 
251,1,fs 02 61, black tortie smoke harlequin blue eyed 
252,1,gs 02 61, blue tortie smoke harlequin blue eyed 
253,1,hs 02 61, chocolate tortie smoke harlequin blue eyed 
254,1,js 02 61, lilac tortie smoke harlequin blue eyed 
255,1,ns 02 62, black smoke harlequin orange eyed 
256,1,as 02 62, blue smoke harlequin orange eyed 
257,1,bs 02 62, chocolate smoke harlequin orange eyed 
258,1,cs 02 62, lilac smoke harlequin orange eyed 
259,1,ds 02 62, red smoke harlequin orange eyed 
260,1,es 02 62, cream smoke harlequin orange eyed 
261,1,fs 02 62, black tortie smoke harlequin orange eyed 
262,1,gs 02 62, blue tortie smoke harlequin orange eyed 
263,1,hs 02 62, chocolate tortie smoke harlequin orange eyed 
264,1,js 02 62, lilac tortie smoke harlequin orange eyed 
265,1,ns 02 63, black smoke harlequin odd eyed 
266,1,as 02 63, blue smoke harlequin odd eyed 
267,1,bs 02 63, chocolate smoke harlequin odd eyed 
268,1,cs 02 63, lilac smoke harlequin odd eyed 
269,1,ds 02 63, red smoke harlequin odd eyed 
270,1,es 02 63, cream smoke harlequin odd eyed 
271,1,fs 02 63, black tortie smoke harlequin odd eyed 
272,1,gs 02 63, blue tortie smoke harlequin odd eyed 
273,1,hs 02 63, chocolate tortie smoke harlequin odd eyed 
274,1,js 02 63, lilac tortie smoke harlequin odd eyed 
275,1,ns 03, black smoke bicolour 
276,1,as 03, blue smoke bicolour 
277,1,bs 03, chocolate smoke bicolour 
278,1,cs 03, lilac smoke bicolour 
279,1,ds 03, red smoke bicolour 
280,1,es 03, cream smoke bicolour 
281,1,fs 03, black tortie smoke bicolour 
282,1,gs 03, blue tortie smoke bicolour 
283,1,hs 03, chocolate tortie smoke bicolour 
284,1,js 03, lilac tortie smoke bicolour 
285,1,n 01 21 61, black van tabby blue eyed 
286,1,a 01 21 61, blue van tabby blue eyed 
287,1,b 01 21 61, chocolate van tabby blue eyed 
