id,breed,name
1,XXX,Undefined
2,Category 1,
3,EXO,Exotic
4,PER,Persian
5,RAG,Ragdoll
6,SBI,Sacred Birman
7,TUV,Turkish Van
8,Category 2,
9,ACL,American Curl Longhair
10,ACS,American Curl Shorthair
